recipe_id,flavour_class,temperature,mode,sweetness,hardness,direction_status,delivered_pod,delivered_npac,zero_gram,total_g,runtime_ms
R10,lemon / citrus,-11,optimal,1,0,ACHIEVED,21.59,40.69,0,1000,1
R10,lemon / citrus,-11,optimal,1,1,ACHIEVED,21.19,39.60,0,1000,1
R10,lemon / citrus,-11,optimal,1,2,ACHIEVED,20.26,37.23,0,1000,1
R10,lemon / citrus,-11,optimal,2,-2,ACHIEVED,23.47,49.54,0,1000,2
R10,lemon / citrus,-11,optimal,2,-1,NEAREST,24.32,46.89,0,1000,2
R10,lemon / citrus,-11,optimal,2,0,ACHIEVED,23.30,41.93,0,1000,1
R10,lemon / citrus,-11,optimal,2,1,ACHIEVED,22.66,38.01,0,1000,14
R10,lemon / citrus,-11,optimal,2,2,ACHIEVED,22.67,35.97,0,1000,11
R11,coffee,-11,optimal,-2,-2,NEAREST,14.93,41.48,0,1000,68
R11,coffee,-11,optimal,-2,-1,NEAREST,14.93,41.48,0,1000,101
R11,coffee,-11,optimal,-2,0,ACHIEVED,14.93,41.48,0,1000,13
R11,coffee,-11,optimal,-2,1,ACHIEVED,15.34,39.96,0,1000,24
R11,coffee,-11,optimal,-2,2,ACHIEVED,15.18,35.07,0,1000,8
R11,coffee,-11,optimal,-1,-2,NEAREST,17.41,41.07,0,1000,55
R11,coffee,-11,optimal,-1,-1,NEAREST,17.41,41.07,0,1000,90
R11,coffee,-11,optimal,-1,0,ACHIEVED,17.41,41.07,0,1000,16
R11,coffee,-11,optimal,-1,1,ACHIEVED,17.64,37.91,0,1000,3
R11,coffee,-11,optimal,-1,2,ACHIEVED,17.11,35.19,0,1000,7
R11,coffee,-11,optimal,0,-2,NEAREST,20.17,40.16,0,1000,71
R11,coffee,-11,optimal,0,-1,NEAREST,20.17,40.16,0,1000,103
R11,coffee,-11,optimal,0,0,ACHIEVED,20.17,40.16,0,1000,1
R11,coffee,-11,optimal,0,1,ACHIEVED,20.07,37.52,0,1000,1
R11,coffee,-11,optimal,0,2,ACHIEVED,18.26,36.83,0,1000,5
R11,coffee,-11,optimal,1,-2,NEAREST,21.19,41.82,0,1000,8
R11,coffee,-11,optimal,1,-1,NEAREST,21.19,41.82,0,1000,80
R11,coffee,-11,optimal,1,0,ACHIEVED,21.61,41.33,0,1000,0
R11,coffee,-11,optimal,1,1,ACHIEVED,21.32,38.75,0,1000,0
R11,coffee,-11,optimal,1,2,ACHIEVED,20.37,35.54,0,1000,0
R11,coffee,-11,optimal,2,-2,NEAREST,22.64,40.42,0,1000,35
