ingredient_id,name,category,subcategory,family,subfamily,form,role,profiles,capability,calibration_level,policy,blocked_reason,provenance,confidence
PI-ING-001156,ESSENZIALE · Albert Base Mix,base_mix,milk_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001157,CARAMELLO · Albert Paste,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001158,GOLDEN CARAMEL SALATO · Albert Paste,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001159,MALAGA G · Albert Paste,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001160,MENTA · Albert Paste,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001161,TIRAMISU · Albert Paste,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001162,VANIGLIA S V · Albert Paste,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001163,AMARENATA · Albert Variegato,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001164,CIOCCOLINA · Albert Variegato,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001165,DAMA BIANCA · Albert Variegato,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001166,FRUTTI DI BOSCO · Albert Variegato,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001167,SALSA LAMPONE · Albert Variegato,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001168,WHITE LEMON · Gotta Paste · 6219,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001169,ADWOKAT · Gotta Paste · 6011,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001170,AMARETTO · Gotta Paste · 6012,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001171,APEROL · Gotta Paste · 6264,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001172,AZZURRA · Gotta Paste · 6016,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001173,MERINGUE FUDGE · Gotta Paste · 6223,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001174,COOKIE · Gotta Paste · 6031,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001175,YELLOW LEMON · Gotta Paste · 6034,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001176,PEAR PIECES · Gotta Paste · 6041,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001177,BUBBLE GUM · Gotta Paste · 6042,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001178,PAST APPLE · Gotta Paste · 6043,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001179,COCONUT · Gotta Paste · 6054,flavor_paste,flavored_ice_cream_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
