n,seed,recipe_id,temperature,mode,sweetness,hardness,outcome,defect_class
383,807281152,R03,-12,optimal,2,2,PREVIEW,ok
384,169212160,R23,-11,eco,-1,-2,PREVIEW,ok
385,1686596608,R04,-11,optimal,1,1,PREVIEW,ok
386,641922816,R05,-12,eco,1,1,PREVIEW,ok
387,573885184,R12,-13,optimal,0,-1,PREVIEW,ok
388,1421903616,R08,-13,optimal,2,-1,PREVIEW,ok
389,1115828800,R08,-12,eco,-2,0,PREVIEW,ok
390,1437374464,R05,-11,optimal,-2,0,PREVIEW,ok
391,714492416,R07,-13,optimal,-1,-2,PREVIEW,ok
392,1708458496,R08,-13,eco,1,2,PREVIEW,ok
393,1920937280,R15,-13,optimal,0,1,PREVIEW,ok
394,607728704,R12,-13,eco,1,0,PREVIEW,ok
395,322212352,R01,-11,optimal,2,0,PREVIEW,ok
396,716925184,R06,-11,optimal,0,1,PREVIEW,ok
397,384255232,R01,-13,optimal,1,2,PREVIEW,ok
398,1921086976,R05,-12,eco,-2,-1,PREVIEW,ok
399,682679808,R23,-12,eco,1,1,PREVIEW,ok
400,266961152,R21,-12,optimal,1,-2,PREVIEW,ok
401,1138136888,R10,-12,optimal,-1,1,PREVIEW,ok
402,1388990080,R22,-11,eco,0,-2,PREVIEW,ok
403,1934944056,R06,-11,optimal,2,2,PREVIEW,ok
404,1486910464,R02,-11,eco,-1,0,PREVIEW,ok
405,1235604480,R17,-13,eco,2,-1,PREVIEW,ok
406,329860928,R17,-12,optimal,1,2,PREVIEW,ok
407,1379019520,R15,-11,eco,2,0,PREVIEW,ok
408,434233344,R02,-12,optimal,1,-1,PREVIEW,ok
409,77104640,R05,-13,eco,2,2,PREVIEW,ok
410,81669120,R04,-11,eco,-2,2,PREVIEW,ok
411,846656064,R15,-11,eco,0,1,PREVIEW,ok
412,1937942528,R17,-12,eco,-1,-2,PREVIEW,ok
413,1793906688,R21,-13,eco,-1,1,PREVIEW,ok
414,495962112,R13,-12,optimal,2,1,PREVIEW,ok
